Prefectural level or Country level,Provincial-level regions,地级行政区或县级行政区,省级行政区,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29
,Beijing,,北京市,4.0,12.0,10.0,5.0,27.0,12.0,11.0,20.0,3.0,25.0,29.0,23.0,21.0,16.0,25.0,21.0,23.0,18.0,11.0,11.0,5.0,10.0,14.0,6.0,3.0,5.0,1,6,6,2,4,0,0,0,1,0,10.0,0.0,,
,Tianjing,,天津市,,2.0,1.0,0.0,3.0,2.0,4.0,9.0,1.0,3.0,4.0,1.0,9.0,7.0,12.0,7.0,2.0,10.0,2.0,7.0,7.0,11.0,6.0,7.0,1.0,2.0,2,1,3,2,1,2,2,0,0,0,0.0,,,
Tangshan,Hebei,唐山,河北省,,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,5.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,8.0,3.0,5.0,0,0,4,1,1,0,1,0,0,0,0.0,,,
Cangzhou,Hebei,滄州,河北省,,,1.0,1.0,0.0,0.0,3.0,3.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,4.0,5.0,5.0,3.0,1.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,
Zhangjiakou,Hebei,張家口,河北省,,,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,4.0,6.0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,5.0,,,
Baoding,Hebei,保定,河北省,,,1.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Handan,Hebei,邯鄲,河北省,,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,3.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0.0,,,
Langfang,Hebei,廊坊,河北省,,,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Shijiazhuang,Hebei,石家莊,河北省,,,3.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0.0,,,
Xingtai,Hebei,邢台,河北省,,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,4.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,
Qinhuangdao,Hebei,秦皇島,河北省,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Hengshui,Hebei,衡水,河北省,,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Chengde,Hebei,承德,河北省,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Taiyuan,Shanxi,太原,山西省,,,,,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,,,
Datong,Shanxi,大同,山西省,,,,,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Yangquan,Shanxi,陽泉,山西省,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Changzhi,Shanxi,長治,山西省,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Jincheng,Shanxi,晉城,山西省,,,,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0.0,,,
Shuozhou,Shanxi,朔州,山西省,,,,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,
Jinzhong,Shanxi,晉中,山西省,,,,,0.0,3.0,4.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0,,,
Xinzhou,Shanxi,忻州,山西省,,,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Yuncheng,Shanxi,運城,山西省,,,,,0.0,1.0,1.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Linfen,Shanxi,臨汾,山西省,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
LuLiang,Shanxi,呂梁,山西省,,,,,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Xilin,Inner Mongolia,錫林,内蒙古自治区,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2,0,1,0,0,0,0,0,0,0,0.0,,,
Baotou,Inner Mongolia,包頭,内蒙古自治区,,,,,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
Hohhot,Inner Mongolia,呼和浩特,内蒙古自治区,,,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,
